,budget,popularity,vote_count,top_cast_avg_rating,director_encoded,release_year,release_month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,title,genres,director,top_cast,release_date,vote_average,revenue,budget_log,revenue_log,profit_ratio
22,250000000,94.370564,4524,6.271936339522531,1614,2013,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Hobbit: The Desolation of Smaug,"['Adventure', 'Fantasy']",Peter Jackson,['Unknown'],2013-12-11,7.6,958400000,19.33697147982652,20.680775786368866,2.8336
23,180000000,42.990906,1303,6.138888888888888,317,2007,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Golden Compass,"['Adventure', 'Fantasy']",Chris Weitz,"['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig']",2007-12-04,5.8,372234864,19.00846741441004,19.73503557054199,1.0679714666666666
24,207000000,61.22601,2337,6.271936339522531,1614,2005,12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,King Kong,"['Adventure', 'Drama', 'Action']",Peter Jackson,['Unknown'],2005-12-14,6.6,550000000,19.14822935606056,20.125428838008972,1.6570048309178744
29,200000000,93.004993,7604,6.271936339522531,1835,2012,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Skyfall,"['Action', 'Adventure', 'Thriller']",Sam Mendes,['Unknown'],2012-10-25,6.9,1108561013,19.11382792951231,20.826328627454465,4.542805065
32,200000000,78.530105,4645,6.271936339522531,2021,2010,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Alice in Wonderland,"['Family', 'Fantasy', 'Adventure']",Tim Burton,['Unknown'],2010-03-03,6.4,1025491110,19.11382792951231,20.748437467472296,4.12745555
33,210000000,3.857526,3525,6.271936339522531,227,2006,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,X-Men: The Last Stand,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",Brett Ratner,['Unknown'],2006-05-24,6.3,459359555,19.162618093443648,19.94534380777439,1.1874264523809523
34,200000000,89.186492,3528,6.271936339522531,399,2013,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Monsters University,"['Animation', 'Family']",Dan Scanlon,['Unknown'],2013-06-20,7.0,743559607,19.11382792951231,20.426959492809576,2.717798035
35,150000000,21.939663,3138,5.841666666666668,1378,2009,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Transformers: Revenge of the Fallen,"['Science Fiction', 'Action', 'Adventure']",Michael Bay,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']",2009-06-19,6.0,836297228,18.826145858727198,20.544494644941985,4.575314853333333
36,210000000,116.840296,3095,6.271936339522531,1378,2014,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Transformers: Age of Extinction,"['Science Fiction', 'Action', 'Adventure']",Michael Bay,['Unknown'],2014-06-25,5.8,1091405097,19.162618093443648,20.810731783770184,4.1971671285714285
37,200000000,46.985445,3530,6.271936339522531,1838,2013,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Oz: The Great and Powerful,"['Fantasy', 'Adventure', 'Family']",Sam Raimi,['Unknown'],2013-03-07,5.7,491868548,19.11382792951231,20.013722061929226,1.45934274
38,200000000,89.270217,4179,6.271936339522531,1288,2014,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Amazing Spider-Man 2,"['Action', 'Adventure', 'Fantasy']",Marc Webb,['Unknown'],2014-04-16,6.5,705717432,19.11382792951231,20.374725478797583,2.52858716
39,170000000,73.79505,2841,6.271936339522531,1081,2010,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,TRON: Legacy,"['Adventure', 'Action', 'Science Fiction']",Joseph Kosinski,['Unknown'],2010-12-10,6.3,400062763,18.951309000896888,19.80713200276317,1.3533103705882352
40,200000000,49.98659,2033,6.271936339522531,1000,2011,6,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Cars 2,"['Animation', 'Family', 'Adventure', 'Comedy']",John Lasseter,['Unknown'],2011-06-11,5.8,559852396,19.11382792951231,20.14318373016529,1.79926198
41,200000000,51.872839,2487,5.820833333333333,1326,2011,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Green Lantern,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Martin Campbell,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard']",2011-06-16,5.1,219851172,19.11382792951231,19.208461389032852,0.09925586
43,200000000,71.862892,2463,6.302499999999999,1365,2009,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Terminator Salvation,"['Action', 'Science Fiction', 'Thriller']",McG,"['Christian Bale', 'Sam Worthington', 'Anton Yelchin']",2009-05-20,5.9,371353001,19.11382792951231,19.732663656064677,0.856765005
45,200000000,81.834855,5560,6.271936339522531,1284,2013,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,World War Z,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",Marc Forster,['Unknown'],2013-06-20,6.7,531865000,19.11382792951231,20.091900257585234,1.659325
48,195000000,43.349855,2598,6.271936339522531,255,2013,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Jack the Giant Slayer,"['Action', 'Family', 'Fantasy']",Bryan Singer,['Unknown'],2013-02-27,5.5,197687603,19.088510121656228,19.102198585112838,0.013782579487179487
49,105000000,61.196071,3769,6.271936339522531,151,2013,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,The Great Gatsby,"['Drama', 'Romance']",Baz Luhrmann,['Unknown'],2013-05-10,7.3,351040419,18.46947091764561,19.676411931495274,2.3432420857142855
51,180000000,56.523205,4794,6.271936339522531,730,2013,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Pacific Rim,"['Action', 'Science Fiction', 'Adventure']",Guillermo del Toro,['Unknown'],2013-07-11,6.7,407602906,19.00846741441004,19.82580399127956,1.264460588888889
52,195000000,28.529607,3299,6.271936339522531,1378,2011,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Transformers: Dark of the Moon,"['Action', 'Science Fiction', 'Adventure']",Michael Bay,['Unknown'],2011-06-28,6.1,1123746996,19.088510121656228,20.839934471443975,4.762805107692308
53,185000000,75.674458,2495,6.271936339522531,1965,2008,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indiana Jones and the Kingdom of the Crystal Skull,"['Adventure', 'Action']",Steven Spielberg,['Unknown'],2008-05-21,5.7,786636033,19.035866388448003,20.48327622672714,3.2520866648648648
54,175000000,51.692953,1736,6.3999999999999995,1626,2015,11,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,The Good Dinosaur,"['Adventure', 'Animation', 'Family']",Peter Sohn,"['Raymond Ochoa', 'Jack Bright', 'Jeffrey Wright']",2015-11-14,6.6,331926147,18.980296537602072,19.620423056352898,0.89672084
55,185000000,125.114374,4641,6.271936339522531,223,2012,6,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Brave,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",Brenda Chapman,['Unknown'],2012-06-21,6.7,538983207,19.035866388448003,20.105194974399108,1.9134227405405406
58,140000000,22.57178,783,6.294444444444444,227,2007,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Rush Hour 3,"['Action', 'Comedy', 'Crime', 'Thriller']",Brett Ratner,"['Chris Tucker', 'Jackie Chan', 'Hiroyuki Sanada']",2007-08-08,6.1,258022233,18.757152987716434,19.36855631746733,0.84301595
60,200000000,39.744242,1095,6.271936339522531,1770,2009,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A Christmas Carol,"['Animation', 'Drama']",Robert Zemeckis,['Unknown'],2009-11-04,6.6,325233863,19.11382792951231,19.60005506305781,0.626169315
62,180000000,42.741719,2430,6.271936339522531,495,2016,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Legend of Tarzan,"['Action', 'Adventure']",David Yates,['Unknown'],2016-06-29,5.5,356743061,19.00846741441004,19.692526366339536,0.9819058944444444
66,175000000,92.201962,6870,6.035714285714286,1596,2009,5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Up,"['Animation', 'Comedy', 'Family', 'Adventure']",Pete Docter,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai']",2009-05-13,7.7,735099082,18.980296537602072,20.41551585489421,3.200566182857143
67,175000000,36.167578,1423,6.044444444444444,364,2009,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Monsters vs Aliens,"['Animation', 'Family', 'Adventure', 'Science Fiction']",Conrad Vernon,"['Seth Rogen', 'Reese Witherspoon', 'Hugh Laurie']",2009-03-19,6.0,381509870,18.980296537602072,19.75964728253492,1.1800564
68,140000000,120.725053,8776,6.271936339522531,1037,2008,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Iron Man,"['Action', 'Science Fiction', 'Adventure']",Jon Favreau,['Unknown'],2008-04-30,7.4,585174222,18.757152987716434,20.18742017795144,3.1798158714285716
69,170000000,32.319043,2141,6.271936339522531,1331,2011,11,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Hugo,"['Adventure', 'Drama', 'Family']",Martin Scorsese,['Unknown'],2011-11-22,7.0,185770160,18.951309000896888,19.04002077403029,0.09276564705882354
70,170000000,40.748915,1020,6.271936339522531,148,1999,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Wild Wild West,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']",Barry Sonnenfeld,['Unknown'],1999-06-29,5.1,222104681,18.951309000896888,19.21865936923679,0.30649812352941175
72,175000000,90.23792,7458,6.271936339522531,443,2016,8,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Suicide Squad,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",David Ayer,['Unknown'],2016-08-02,5.9,745000000,18.980296537602072,20.428894777686114,3.257142857142857
73,175000000,27.082182,1151,6.23015873015873,2063,2007,6,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Evan Almighty,"['Fantasy', 'Comedy', 'Family']",Tom Shadyac,"['Steve Carell', 'Lauren Graham', 'John Goodman']",2007-06-09,5.3,173000000,18.980296537602072,18.9688021582424,-0.011428571428571429
74,178000000,79.456485,4858,6.665454545454547,544,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Edge of Tomorrow,"['Action', 'Science Fiction']",Doug Liman,"['Tom Cruise', 'Emily Blunt', 'Brendan Gleeson']",2014-05-27,7.6,370541256,18.997294113874336,19.73047535142669,1.0816924494382023
76,175000000,32.852443,1962,6.271936339522531,1935,2009,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,G.I. Joe: The Rise of Cobra,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Stephen Sommers,['Unknown'],2009-08-04,5.6,302469017,18.980296537602072,19.52748941035519,0.7283943828571429
78,175000000,94.199316,2892,6.271936339522531,1037,2016,4,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,The Jungle Book,"['Family', 'Adventure', 'Drama', 'Fantasy']",Jon Favreau,['Unknown'],2016-04-07,6.7,966550600,18.980296537602072,20.689244210130965,4.523146285714286
80,170000000,77.178973,3118,6.271936339522531,1809,2012,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Snow White and the Huntsman,"['Adventure', 'Fantasy', 'Drama']",Rupert Sanders,['Unknown'],2012-05-30,5.8,396600000,18.951309000896888,19.798438776571402,1.3329411764705883
81,180000000,110.620647,4496,6.271936339522531,1766,2014,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Maleficent,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",Robert Stromberg,['Unknown'],2014-05-28,7.0,758539785,19.00846741441004,20.44690580890392,3.2141099166666667
86,165000000,44.041186,1959,5.609047619047619,1452,2010,5,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Shrek Forever After,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",Mike Mitchell,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",2010-05-16,6.0,752600867,18.92145603792546,20.43904558945805,3.561217375757576
87,190000000,130.311355,2846,6.271936339522531,212,2015,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,Tomorrowland,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",Brad Bird,['Unknown'],2015-05-19,6.2,209154322,19.06253463538792,19.15858292501492,0.10081222105263157
88,165000000,203.73459,6135,6.271936339522531,318,2014,10,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Big Hero 6,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",Chris Williams,['Unknown'],2014-10-24,7.8,652105443,18.92145603792546,20.2957168307414,2.9521542
89,165000000,62.341073,4570,6.271936339522531,1689,2012,11,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Wreck-It Ralph,"['Family', 'Animation', 'Comedy', 'Adventure']",Rich Moore,['Unknown'],2012-11-01,7.1,471222889,18.92145603792546,19.970841767220247,1.855896296969697
93,200000000,69.405188,2143,6.271936339522531,1064,2003,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Terminator 3: Rise of the Machines,"['Action', 'Thriller', 'Science Fiction']",Jonathan Mostow,['Unknown'],2003-07-02,5.9,435000000,19.11382792951231,19.89085659135181,1.175
95,165000000,724.247784,10867,6.642845117845117,339,2014,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Interstellar,"['Adventure', 'Drama', 'Science Fiction']",Christopher Nolan,"['Matthew McConaughey', 'Jessica Chastain', 'Anne Hathaway']",2014-11-05,8.1,675120017,18.92145603792546,20.330401037475912,3.0916364666666665
96,160000000,167.58371,13752,6.271936339522531,339,2010,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,Inception,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",Christopher Nolan,['Unknown'],2010-07-14,8.1,825532764,18.8906843794481,20.531539511633092,4.159579775
97,15000000,9.476999,143,6.271936339522531,766,2016,7,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,Shin Godzilla,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']",Hideaki Anno,['Unknown'],2016-07-29,6.5,77000000,16.52356082573315,18.15931599280497,4.133333333333334
98,250000000,108.849621,8297,6.271936339522531,1614,2012,11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Hobbit: An Unexpected Journey,"['Adventure', 'Fantasy', 'Action']",Peter Jackson,['Unknown'],2012-11-26,7.0,1021103568,19.33697147982652,20.74414980976988,3.084414272
103,150000000,35.580815,1470,6.208333333333333,1047,2010,7,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,The Sorcerer's Apprentice,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']",Jon Turteltaub,"['Nicolas Cage', 'Jay Baruchel', 'Monica Bellucci']",2010-07-13,5.8,215283742,18.826145858727198,19.187467450891013,0.43522494666666667
104,160000000,21.133748,583,5.8619047619047615,2161,2006,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Poseidon,"['Adventure', 'Action', 'Drama', 'Thriller']",Wolfgang Petersen,"['Kurt Russell', 'Richard Dreyfuss', 'Josh Lucas']",2006-05-12,5.5,181674817,18.8906843794481,19.017728932677564,0.13546760625
106,160000000,42.986467,2278,5.609047619047619,306,2007,5,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Shrek the Third,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",Chris Miller,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",2007-05-17,6.0,798958165,18.8906843794481,20.49881914441239,3.99348853125
109,155000000,49.661984,1514,6.416666666666667,1377,2010,8,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,The Chronicles of Narnia: The Voyage of the Dawn Treader,"['Adventure', 'Family', 'Fantasy']",Michael Apted,"['Skandar Keynes', 'Georgie Henley', 'Simon Pegg']",2010-08-13,6.2,415686217,18.858935681335133,19.845441249956647,1.6818465612903226
111,150000000,25.468493,4040,6.271936339522531,1378,2007,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Transformers,"['Adventure', 'Science Fiction', 'Action']",Michael Bay,['Unknown'],2007-06-27,6.6,709709780,18.826145858727198,20.38036668527991,3.7313985333333335
112,155000000,39.019229,927,6.271936339522531,1541,2004,11,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,Alexander,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']",Oliver Stone,['Unknown'],2004-11-21,5.6,167298192,18.858935681335133,18.935288364942355,0.07934317419354839
113,150000000,78.144395,5494,6.271936339522531,495,2007,6,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,Harry Potter and the Order of the Phoenix,"['Adventure', 'Fantasy', 'Family', 'Mystery']",David Yates,['Unknown'],2007-06-28,7.4,938212738,18.826145858727198,20.65948728189478,5.254751586666667
114,150000000,101.250416,5608,6.271936339522531,1454,2005,11,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Harry Potter and the Goblet of Fire,"['Adventure', 'Fantasy', 'Family']",Mike Newell,['Unknown'],2005-11-05,7.5,895921036,18.826145858727198,20.61336283870746,4.9728069066666665
115,150000000,56.758411,2961,6.1322222222222225,1599,2008,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Hancock,"['Fantasy', 'Action']",Peter Berg,"['Will Smith', 'Charlize Theron', 'Jason Bateman']",2008-07-01,6.2,624029371,18.826145858727198,20.25170799573874,3.1601958066666667
116,150000000,70.867401,4853,6.558333333333334,620,2007,12,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,I Am Legend,"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']",Francis Lawrence,"['Will Smith', 'Alice Braga', 'Charlie Tahan']",2007-12-14,6.9,585349010,18.826145858727198,20.1877188273011,2.902326733333333
117,150000000,53.905592,3624,6.557575757575758,2021,2005,7,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Charlie and the Chocolate Factory,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Tim Burton,"['Johnny Depp', 'Freddie Highmore', 'David Kelly']",2005-07-13,6.7,474968763,18.826145858727198,19.978759599836632,2.16645842
120,150000000,44.141021,1810,6.271936339522531,583,2008,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Madagascar: Escape 2 Africa,"['Family', 'Animation']",Eric Darnell,['Unknown'],2008-10-30,6.2,603900354,18.826145858727198,20.218919767123626,3.02600236
122,150000000,5.954334,4021,6.271936339522531,672,2009,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,X-Men Origins: Wolverine,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Gavin Hood,['Unknown'],2009-04-28,6.2,373062864,18.826145858727198,19.737257502281004,1.48708576
123,150000000,73.313918,3096,6.263888888888888,1234,2003,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,The Matrix Revolutions,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Lilly Wachowski,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']",2003-11-05,6.4,424988211,18.826145858727198,19.86757199003344,1.83325474
125,150000000,70.78591,3443,6.271936339522531,1234,2003,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,The Matrix Reloaded,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Lilly Wachowski,['Unknown'],2003-05-15,6.7,738599701,18.826145858727198,20.42026665691664,3.923998006666667
130,150000000,41.845878,1750,6.271936339522531,318,2008,11,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bolt,"['Animation', 'Family', 'Adventure', 'Comedy']",Chris Williams,['Unknown'],2008-11-21,6.3,309979994,18.826145858727198,19.552018321103105,1.0665332933333334
131,150000000,26.710398,510,5.768253968253968,774,2009,7,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,G-Force,"['Fantasy', 'Action', 'Adventure', 'Family', 'Comedy']",Hoyt Yeatman,"['Sam Rockwell', 'Penélope Cruz', 'Tracy Morgan']",2009-07-21,5.1,292817841,18.826145858727198,19.49506127398727,0.95211894
132,150000000,44.927635,1431,5.993055555555556,1061,2012,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wrath of the Titans,['Adventure'],Jonathan Liebesman,"['Sam Worthington', 'Liam Neeson', 'Ralph Fiennes']",2012-03-27,5.5,301000000,18.826145858727198,19.52262082603541,1.0066666666666666
133,150000000,50.306728,2320,6.271936339522531,2021,2012,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Dark Shadows,"['Comedy', 'Fantasy']",Tim Burton,['Unknown'],2012-05-08,5.7,245527149,18.826145858727198,19.31891808971552,0.63684766
135,150000000,21.214571,549,6.347777777777778,954,2010,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,The Wolfman,"['Drama', 'Horror', 'Thriller']",Joe Johnston,"['Benicio del Toro', 'Anthony Hopkins', 'Emily Blunt']",2010-02-11,5.5,0,18.826145858727198,0.0,-1.0
